sfr,phi,number
-3.1061409,0.00975,2925
-2.7246287,0.015216666666666667,4565
-2.3794837,0.02252,6756
-2.0542884,0.030803333333333332,9241
-1.7366898,0.024093333333333335,7228
-1.4059372,0.01504,4512
-1.0675468,0.010763333333333333,3229
-0.736698,0.008223333333333332,2467
-0.40389982,0.006923333333333333,2077
-0.07736426,0.005093333333333333,1528
0.2557095,0.003913333333333333,1174
0.57441103,0.00224,672
0.8848341,0.0006133333333333334,184
1.2077205,9.666666666666667e-05,29
1.6170954,1.3333333333333333e-05,4
1.7558273,3.3333333333333333e-06,1
