#logM sfr_mean sfr_std
9.0 -2.5823333 0.4816816
9.2 -2.383674 0.5464201
9.4 -2.278061 0.53254735
9.6 -2.2197254 0.51223665
9.8 -2.1117241 0.51038694
10.0 -1.959008 0.51613057
10.2 -1.7198211 0.5252189
10.4 -1.4158281 0.52436334
10.6 -1.0290776 0.4942114
10.8 -0.6494117 0.44556877
11.0 -0.24986346 0.38015056
11.2 0.104479425 0.3353109
11.4 0.4305645 0.31161225
11.6 0.64847064 0.3930257
11.8 0.7894918 0.47876897
12.0 0.8756287 0.54039
12.2 0.95385087 0.43307096
12.4 0.95423037 0.43741724
12.6 1.1459113 0.38421327
12.8 1.382769 0.23031713
13.0 1.4966319 0.30157077
13.2 1.6717237 0.20909645
13.4 1.6240523 0.20104708
13.6 2.1824908 0.16974902
13.8 nan nan
14.0 nan nan
14.2 nan nan
14.4 nan nan
14.6 nan nan
14.8 nan nan
