# logM sfr_mean sfr_std
9.0 -2.1483905 0.0
9.2 -2.6446033 0.26342118
9.4 -2.5571167 0.4725383
9.6 -2.4772525 0.51059824
9.8 -2.4405415 0.5049993
10.0 -2.372461 0.5095139
10.2 -2.309791 0.52771634
10.4 -2.193286 0.56410956
10.6 -2.0816662 0.6135635
10.8 -1.9635086 0.67068464
11.0 -1.7894588 0.7460954
11.2 -1.6198766 0.8110236
11.4 -1.4632812 0.85302114
11.6 -1.3471433 0.89156246
11.8 -1.2926109 0.9216714
12.0 -1.2777457 0.96580017
12.2 -1.322883 0.9792383
12.4 -1.3581293 0.9940429
12.6 -1.3603274 0.9845962
12.8 -1.380017 0.9784233
13.0 -1.3466392 1.000097
13.2 -1.2817913 1.0093703
13.4 -1.3850662 1.0410889
13.6 -1.1296917 1.0504283
13.8 nan nan
14.0 nan nan
14.2 nan nan
14.4 nan nan
14.6 nan nan
14.8 nan nan
