# logM sfr_mean sfr_std
9.0 -2.5819886639445766 0.4816454291214979
9.2 -2.383815522821372 0.5463400610661577
9.4 -2.2782827127600527 0.5326229911902277
9.6 -2.220358819459848 0.5129112498567101
9.8 -2.1133238490872865 0.5116662792149903
10.0 -1.9627288784575545 0.5197716853343132
10.2 -1.718452844114675 0.5288616556930411
10.4 -1.3862188165622558 0.5063445561703696
10.6 -0.969446465175272 0.4363154927988737
10.8 -0.5685851432786013 0.34664253943726275
11.0 -0.16930898205548156 0.2884648036149188
11.2 0.18871695728428053 0.2453990278979297
11.4 0.5189940325016177 0.24384032727682495
11.6 0.7677252032630426 0.3147366354412502
11.8 0.9315782062770904 0.39326525068817975
12.0 1.0984180433268005 0.3970629786877632
12.2 1.2575086503201522 0.30883361761998596
12.4 1.3833074166585884 0.30819390430274624
12.6 1.555737922959988 0.27916542065914535
12.8 1.7479795941871088 0.19373112620308772
13.0 1.9847295107517304 0.18247082077198526
13.2 2.1943193329501964 0.16847953480774092
13.4 2.2878445217038483 0.07397035162703355
13.6 2.432347919738575 0.1361354358591027
13.8 nan nan
14.0 nan nan
14.2 nan nan
14.4 nan nan
14.6 nan nan
14.8 nan nan
