sfr,phi,number
-3.0505025,0.04181,12543
-2.720032,0.05514666666666666,16544
-2.384264,0.05699333333333333,17098
-2.059332,0.07333,21999
-1.7387745,0.08318,24954
-1.41734,0.07212333333333333,21637
-1.096123,0.05372333333333333,16117
-0.7700638,0.03315333333333333,9946
-0.44017527,0.02232666666666667,6698
-0.1156717,0.01566,4698
0.21509437,0.010363333333333334,3109
0.5371251,0.007043333333333334,2113
0.86320966,0.004443333333333333,1333
1.1755313,0.0023066666666666665,692
1.4758536,0.00064,192
1.8087507,5.333333333333333e-05,16
2.043072,3.3333333333333333e-06,1
2.3522398,3.3333333333333333e-06,1
