sfr,phi,number
-3.0274343,0.01748,5244
-2.7333443,0.02151,6453
-2.397953,0.020093333333333335,6028
-2.0726416,0.022223333333333335,6667
-1.7493029,0.023103333333333333,6931
-1.4254215,0.026536666666666667,7961
-1.1131542,0.02414,7242
-0.7947668,0.01614,4842
-0.46583647,0.010176666666666667,3053
-0.14343172,0.0065966666666666665,1979
0.1817941,0.0039,1170
0.5033303,0.0024833333333333335,745
0.8289641,0.00127,381
1.1355022,0.00063,189
1.4492196,0.00013333333333333334,40
1.6534467,3.3333333333333333e-06,1
