sfr,phi,number
-3.1144264,3.3333333333333333e-06,1
-2.6467652,1.3333333333333333e-05,4
-2.2824576,1.6666666666666667e-05,5
-1.9906353,3.3333333333333335e-05,10
-1.6196283,6e-05,18
-1.3190656,0.00019,57
-0.99245507,0.0005433333333333334,163
-0.6802473,0.00134,402
-0.35931522,0.003756666666666667,1127
-0.057205595,0.006496666666666667,1949
0.2562854,0.006123333333333333,1837
0.5703648,0.00447,1341
0.8880241,0.0030533333333333332,916
1.1964422,0.0016466666666666667,494
1.4908992,0.00048666666666666666,146
1.8331732,4.3333333333333334e-05,13
2.043072,3.3333333333333333e-06,1
2.3522398,3.3333333333333333e-06,1
