sfr,phi,number
-2.9838343,0.00339,1017
-2.72988,0.00538,1614
-2.4004996,0.005576666666666666,1673
-2.0781052,0.0055966666666666665,1679
-1.7464252,0.005393333333333333,1618
-1.4143062,0.00916,2748
-1.1084975,0.009943333333333334,2983
-0.79376,0.00686,2058
-0.46207172,0.004923333333333333,1477
-0.14094849,0.00366,1098
0.1879443,0.002416666666666667,725
0.5071606,0.0018733333333333334,562
0.8329727,0.0011933333333333334,358
1.135443,0.0006266666666666666,188
1.4492196,0.00013333333333333334,40
1.6534467,3.3333333333333333e-06,1
