sfr,phi,number
-3.0590627,0.025346666666666667,7604
-2.700545,0.03386666666666667,10160
-2.3609006,0.03812666666666667,11438
-2.036501,0.05150333333333333,15451
-1.7207088,0.05945333333333333,17836
-1.402624,0.04383666666666667,13151
-1.0814133,0.02877,8631
-0.7521672,0.017123333333333334,5137
-0.42452678,0.012156666666666666,3647
-0.10175163,0.009146666666666668,2744
0.22848828,0.006443333333333333,1933
0.5480784,0.004633333333333333,1390
0.869935,0.003173333333333333,952
1.1833433,0.0017333333333333333,520
1.4809457,0.0005133333333333333,154
1.816104,5e-05,15
2.043072,3.3333333333333333e-06,1
2.3522398,3.3333333333333333e-06,1
